LegName--------	EtaLow---------	EtaHigh--------	PtLow----------	PtHigh---------	Efficiency-----	ErrorDown------	ErrorUp--------
SingleEl	0.000000	1.500000	10.000000	15.000000	0.000000	0.000000	0.000079
SingleEl	0.000000	1.500000	15.000000	20.000000	0.000000	0.000000	0.000028
SingleEl	0.000000	1.500000	20.000000	22.000000	0.000000	0.000000	0.000046
SingleEl	0.000000	1.500000	22.000000	23.000000	0.000000	0.000000	0.000094
SingleEl	0.000000	1.500000	23.000000	24.000000	0.000059	0.000000	0.000128
SingleEl	0.000000	1.500000	24.000000	25.000000	0.000278	0.000135	0.000309
SingleEl	0.000000	1.500000	25.000000	26.000000	0.002432	0.000505	0.000531
SingleEl	0.000000	1.500000	26.000000	27.000000	0.020589	0.000943	0.000960
SingleEl	0.000000	1.500000	27.000000	28.000000	0.143438	0.001711	0.001707
SingleEl	0.000000	1.500000	28.000000	29.000000	0.474157	0.002058	0.002065
SingleEl	0.000000	1.500000	29.000000	30.000000	0.748740	0.001656	0.001658
SingleEl	0.000000	1.500000	30.000000	31.000000	0.844491	0.001356	0.001349
SingleEl	0.000000	1.500000	31.000000	32.000000	0.866465	0.001222	0.001215
SingleEl	0.000000	1.500000	32.000000	33.000000	0.872215	0.001121	0.001114
SingleEl	0.000000	1.500000	33.000000	35.000000	0.878283	0.000694	0.000691
SingleEl	0.000000	1.500000	35.000000	37.000000	0.883133	0.000604	0.000601
SingleEl	0.000000	1.500000	37.000000	39.000000	0.891090	0.000515	0.000513
SingleEl	0.000000	1.500000	39.000000	41.000000	0.895521	0.000449	0.000449
SingleEl	0.000000	1.500000	41.000000	43.000000	0.901132	0.000438	0.000444
SingleEl	0.000000	1.500000	43.000000	45.000000	0.905945	0.000365	0.000363
SingleEl	0.000000	1.500000	45.000000	47.000000	0.909702	0.000407	0.000406
SingleEl	0.000000	1.500000	47.000000	50.000000	0.911375	0.000428	0.000426
SingleEl	0.000000	1.500000	50.000000	55.000000	0.918321	0.000496	0.000493
SingleEl	0.000000	1.500000	55.000000	60.000000	0.926663	0.000689	0.000684
